address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,voting_power,timestamp,author_ipfs_hash,reason
0x36Fef7F36705169816E44FF1070Ac3f6Ad796bF6,,1,,,,,,,115.59046314213654,1696312338,bafkreiexwli5oe5wtv5fzmmkpewcjkpfzyp75f7wzmriuorif444vm3oou,""
0xb5026494ea932cBd161c46392ffD7A2855Ca05Af,1,1,,,1,,,,21766.02706456122,1696312467,bafkreierxlcvdph2u7745wr72y35ffphozade7ichjmct6lv36g4ug5jwe,""
0xc724e609D9A3968013eF8Ce0Bf2CB48971A9b01D,,1,,,,,1,,1.2501236101373236,1696312650,bafkreigu5iocc22jgicgqrf54xzcztfndcz6fo2nng3aptbbfvtrpu7ode,""
0xC49a7D4f6DB416011530d5a047Db26B036c51328,,1,,,,,,,0.8934625461315695,1696315569,bafkreihczcwbpnffadbw3f4bvcx6tlwacftjtpxpplhfi25ogvsx4ed7qe,""
0x7456dc5Db0e9fc2A0F77189571B7e1832EFF7166,,1,,1,,,1,,16.178496336592314,1696315673,bafkreihpstnccrndv22zdg3r4glwlbqmt7jbylsspi5ot4ibcijretj4a4,""
0x96d5FCffE7a71a811907e6aA4d77Da24A66f1573,,,,,,1,,,2.0824,1696315785,bafkreifllv4htolb5vvx5mvx7vnxuuzhucakgn2roijfm5rctg2va3g5yu,""
0x1eb2AB173fEd039D2889158125e0c98624000D74,,1,,,,,,,127.63766998145017,1696316109,bafkreidwdasbzr3f4cmdx7tzn5schivhgtpt4f6ncarxmc3pegfiwertpe,""
0x41f1E1add00d2D9cC0081a2F0568376aE4e364D0,,,,,1,,,,1.3390476,1696316116,bafkreiang5etcyla6js6y5ns5h2pxcynwzzbrtehwngj2vvhozphrl7esi,""
0xA56ce3C48D87C3A2287EF0f79FB102Fab28f881f,,1,,,,,,,68.03071402019341,1696316741,bafkreiexngrjo73xybttgsgzd57utm76ofamh7v4kl3emuiayq6pbn3uya,""
0x9B605aAa822Ac1FF7b48430a71cB39Cd8F4D6435,,1,,,,,,,109.5130980776972,1696317192,bafkreifxp4cwalv4i7jm2lllipw2irf74r4tdz5f74sphadgz6pnknupwq,""
0xE0a53bB8d8f9d4E3eFdDFc688324326AF05Ccd85,,,,100,,,,,2214.2516130571344,1696317209,bafkreiai6bavwv6juktxzhazue6utxbyfezmyxkzn7u5wc5woexoofuaii,""
0x4F1fdB46D6B90b33896c79D390cC348Ec8B73B39,1,1,1,1,1,1,1,1,21.27998467605267,1696317339,bafkreihmzf4ds7jp3oo6t364ryaowdu5ojerrewnq435hxnm36v6tnefhq,""
0x2bA0fCC894522DF700060a6015f7e96537B18412,,1,,,,,,,1.137313407260916,1696317451,bafkreicybk7b3onz3xhzpyoxp76vfwkxnlxeukacmo42zxsv2r74xfwjfy,""
0x6692a62CFe7835024b63d093549e10229B9a97BA,,,,,,,4000,,3126.330387591575,1696317455,bafkreiaqgw2tyinwejyjf5sncnvmy63mb7q7rxmzwrf336g5nrh46bt42m,"representing grassroots builders and their perspective"
0xb69e2fE0455207208dE5f767F7a123521584f65a,1,1,1,1,1,1,1,1,5.1773962123257995,1696317839,bafkreif3ipufbugfhnzo33wnwz7fgjxgb3yhwr7yfpwwipzpe3gu2n2lzy,""
0x3f3A1aa0585010b73335790992C50CE7c44dD1a4,1,,,,,,,,17.927663529971586,1696318200,bafkreic3z2mvlh32cbbdaxqkiiqrqkgaslcvxl4rmgd5hrljgyj4h4rqea,""
0x1109809fe8f95144e82eE71dfB502480e61B0AdC,1,1,1,1,1,,,,133.66298630359486,1696318330,bafkreibeybg2nyqtihr5zd7sawrrlrlcnqzobo7sb4todj7je6l2h3sxhy,""
0xb0403d726475Ba020107B882bBB9b865d4fc5B25,1,1,1,1,1,4,1,1,6.705060130781175,1696318691,bafkreieq3zkkwuli4ui6ay6tchd7qsdqbxzlvjowm5sspmzyfew2q3eqhm,""
0xbF732F38A781e83e6a8479cf66986AdB14c0AD4E,,1,,1,,,,,2.2860510788812713,1696318839,bafkreicp7wy23qfuuaip7kubfnx7rtw2gjjj2lllfqjwhk2lidmhfjcwxm,""
0xc1ff3e6E2f1c5c0666Dd171d72bDA9d26b1D1f30,2,,,,,,,,57.097212284447245,1696318850,bafkreigomdgi7yslnc5dolzsbl72jo3fnbz5ixvr2vci5ga4qugd2rsspy,""
0x16C9181eaE8F357258A9dAA82383B303A17BCA6c,,100,,,,,,,731.0297497369125,1696318963,bafkreieewn55uexft3dqa2j2x44fdin53vw4nlmwfgapaezcow5dzstfkm,""
0x8bC8b4E4921101BcC56ec084b906069b73de7276,,1,,,,,,,0.08155106239839222,1696319091,bafkreihujdo25aveuyjd7a2vr67wogchypsz3nvhzsdd3a2iw4cbkwmy7m,""
0x2B0226D3E493a0A5c051F930092d2A9014d00977,,1,,,,,,,1.1622030754617994,1696319204,bafkreidpjq3u6hstfnv267gozzk2vsxhiahwb4usrzetgscuzhhc4igthy,""
0x74C259f7d1A00BEbC929c317d05444158eAA3C87,1,1,1,1,1,1,1,1,1.1692219001206337,1696319562,bafkreih4wnwdjjjjdmtbd5g4ghq3qrvfsigkdv3m77tl3ohsjib2b7lajq,""
0x8D920F6205c26dDe3F5684Bb09885C64c865B419,,1,,,,,,,3.565258858258731,1696319612,bafkreihyshbbbp7qrm3pnk6ef2ion6atg6fflzxzqs4bswlfkltl6tcvui,""
0xA83744Ebb1321e21dF821759EF43F80a9df279aA,,1,1,1,1,1,1,1,5.820122457133209,1696320188,bafkreieksvu7qknztlxoupixgpvzl46n7gdk67wjexiqma6zga5lnkwuau,""
0x952ea8AC9A65fCACf9CE57CC0797726962C7b614,,100,,,,,,,4.341751501401203,1696321289,bafkreidnws2hci3qshwl4ogao6uan57bu6f5gxblayehezfna3trjf23iy,""
0x79fF7b20ad414a4F7312957ac82FB84089D9A1EE,,1,,,,,,,2.0575706809747265,1696321331,bafkreiglv3rsoply43vodpo6x3qiul5pxehlinxfwf3v6hqatvhe36lgqq,""
0x2B49eb913E5D5d82Ae3c7145577F24E9a7615d39,,1,,1,,1,,,0.8570090872165317,1696321462,bafkreiggbxqma5l7d3nujxxi4isrqtm7ddobrkcfwqdrk264axtvzarfaq,""
0x8b529eF78046008f9d1FbC91c7407030De96EE32,,,,4000,,,,,3825.282848556733,1696321825,bafkreidwh7pvzhp3c2ojtkqibr7p6itmnrnops3isgwa44nqzzzmzcdbli,""
