address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,voting_power,timestamp,author_ipfs_hash,reason
0xFC3628072a4566A412eA93937169DeC1ac4D64DE,,,,,1,,0.5163087187490562,1679326848,bafkreigshnyzrdf75ru3nvfldlnoembsvqgdellsl3vcrn2tqbm5x52p4e,""
0xC5f6B52BdABce080A68b49E80eA264699c174882,50,,,,,50,29.7017977535767,1679326851,bafkreiggk2ctxu4vixjqmbtlxhqdly24563qkrlxell7wrcxpxrnlhm4py,""
0xb60cca2E2c9341e9Fa6FC864f28A5c0d371714f5,,,,,100,,1.39305321308277,1679326865,bafkreicacrqk3o5kfpmb46ciig6xso5yni6tlxktsn7ayn6epdwzlm7jaa,""
0x8F6e3361385660524F88dE44737Ba8F41f216a3f,,,,,1,,0.3112477015,1679326872,bafkreicowtfxictqy57lujqjh2gh7zitacb6nvy53ejppatrh4p3rxzaji,""
0x6f488D5Bc7D4a0d8Da169EFdd8a351dAA1f085c5,,,,,100,,1063.78062961593,1679326961,bafkreif2llmj7bsjio2dd45evnuzdm2cianpupj7xjprx3fedjvesg3chy,""
0xC9A2D92DDC1228fEAC6DD9f8C348aaDdfCA3FAA7,9,,,,,1,2333.0920964930006,1679327017,bafkreifixixtoo3i24dcuidd6mqch2kjzjyfrf2wdgm7btgl7wkgs6t6xu,""
0x16F2Ba49c5BB78C994DddFbCc8DbC93D70245ab6,1,2,2,1,2,1,1.5051573860704646,1679327047,bafkreigl6ow6cnzasusc6rf57tslv7qfpceslksilfrojud62zswec3qaq,""
0xC60810c0e379EE0707AD247F1907bA8De7889F3f,,,,100,,,40404.267595125275,1679327068,bafkreibpufdbgicofjwgcnvuaxdjwyfzllhjsqtwjzb7vg4cr6ebny4fli,""
0x1BFBc0c91287de1A13F164BbbDE61D1C959b9A59,2,,,1,,,45.18878989762523,1679327141,bafkreic57e4lf6iitaaq7rpqnjllkl36u7daksvp6ihyknrhmvrkuvebei,""
0xDC2720a762C5bf9DeeEb54460cC8Fa8a2b62FaC7,,,,,100,,843.473399024379,1679327150,bafkreibyci4tc6ppxz3epqoh6jcuulzyy46kabmphstieni3z6c5jl5fuy,""
0x06d9c8b322D96D4ca481A101Da4E836DfE2E5cC1,1,,,,,,31.91426627047026,1679327181,bafkreievr3ow6crzjdjja4lckripuwqw42wxj4rjv6dnyklnvubhztqjc4,""
0x4e44c667D0E240112438c768b308Bc671b0420b5,1,1,1,1,1,1,8.968201766,1679327235,bafkreid5zelxwontkoia5ctjmvpke7khnxtwk6eydtkdmvhhjhifovlen4,""
0x404ACC70d182D5D2B7eeEEEeBaD055eB841431E1,,,,,1,,0.7036208624501479,1679327266,bafkreih2cmlla572c4rxwkpno5a7dxpi4kdm5xi6udouiig7jsjx4slwha,""
0x9787c0dA554A2f872a773d445875d3136C336658,,,,,,1,222.4133220282288,1679327348,bafkreiffhtp4tyetwy5xirgf73qmmlh4ppr57ytgshy2g7sqmtofa5ytnu,""
0xb4F4642997Ab9952761ff2f00D12B251285fA867,,,,,3,1,18.12197001783651,1679327367,bafkreibxw76sawu27yvqn62rfasenbskpg2vpfqhgupn7xtsxnh5hhden4,""
0x780dab0477Fd0e0bb477D94c852617D1Ab5f723E,,,,,1,,17.1649,1679327373,bafkreiemlh5tn6ymkd6nju6litl2xeu2amlv3vsgus5cilfbj4cnvihvvi,""
0x03eBbC1dba73D22d56ED0E37A3bF4b7FE022ab6E,,,,,,1,337692.4535450828,1679327381,bafkreia2zd6qiiafbvxaxtmfzhq4s4uavyjsewmaae3vtf25lzv56gtaga,"Best dex on Moonbeam network "
0xF3349e168D715b70F41797Ed46F6ADa1dDeeEaf3,5,1,1,1,3,2,41092.815841153075,1679327393,bafkreibsdgnyh2fp7ef2vlye4fg6zwvhczbzaltewfiv33id6224s2unwe,""
0xBFEe762e4e342d83647eaF2F05A6e158ECb80d9A,100,,,,,,114.76426120005367,1679327450,bafkreig4ksswh6u3rgdsrlrapqkkikumlsmdmv2n66zl3jykce2nj7bwsq,""
0x5c6E65c9CAb153b886f85EFCa79A0c611d876538,10,,,10,10,30,71.77118166880864,1679327536,bafkreifu56lbzox4hhgrdtvssd6w5idghassin5vp3mivbnxujnzpbamqu,""
0x155475353D0a4B0e64AB42C1C22186B2E2560e2c,,,100,,,,65121.97575327869,1679327550,bafkreiby7zxnyglrxay6jiwxy5koirgrr2j322se3c5vlsm36cqi6jm3m4,""
0xD496c6752b4Ab1c1b6126aBca32A9d15eDe1603d,,,,,1,,0.0569273105,1679327633,bafkreidjki2ptfaetth2dtdczj7vldwcpfm3ztg5okliutdil73ub74uim,""
0xDB0132c875eA7A00c4a6283da592ae6500205396,,,,100,,,3.844768344052696,1679327634,bafkreicgm72ldq2vb25ttctvznflawwsdzuwz2g3nwb5di5v64pxwlxeey,""
0x5EC17bCf1Fb27dbC92E1a6389d9E127A61fae8B9,,,,,,1,2.9217345,1679327666,bafkreihjf773ebo25nlkhxa6gayfmsjxy4g2kjyoz35hdo6wweajjc6qny,""
0x93874A43357c6Ab7111a8e8bf5A20d59d25d3Dd1,,1,,,,,11601.710868366095,1679327787,bafkreibefgsgmn2jqaqgqxufu3tfpow4ike4alefbsnyc75fewpd4m6tna,"For the utility of Moonbeam!"
0x0ffe5A8183097A8Bdc00C8FF26AFeAA6c27EdeFF,1,,1,,,1,0.99979,1679327787,bafkreif7q7aitpjh7y2m74yhn6hwfzezsdyxxxqjoy7nsboaiugufu6ivm,""
0x470D235cA1CafF614AbEE02D98Ac3aa89A6758bD,,,,,,1,3.1636016987700954,1679327853,bafkreif5yuawtn5puisxeydmai4ekhzc6tqokq2isf4nddtpkvqblqitoi,""
0xdd1562517952C6bBa8872326315cAEa8f55BA459,1,,,,1,1,76.37631289749062,1679327889,bafkreigps6qwjzylsvzghun6sotcuv622y7v6ar36yvuxyk5kz3u76gvjy,""
0xBd1691E270485D152eb2F9f75B7c8ff4595eeC2F,,,,20,,,6.2017787,1679328018,bafkreib2jhm4l2pnugijmnptxrphxkc57mlwhehggf7jerfzemlmmegvki,""
0x76322F53b91Cb8849dfB2007eD862940934B3520,1,,,,,,3486.041442759737,1679328102,bafkreihz5c2vhqjphmued3qx54wki52o3uvefsdh6go3sfobd3qjzi63sm,""
0x63EA39A46e9d7Ae18740a6C825655f2178f698A4,1,,,,,,1055.26323543984,1679328262,bafkreidhjzezfhosxhkotpa3als3eyjhht6fpf4hmrpvxt53fan7t5zbfe,""
0x74c96A0Bf84Cfa9f9B7D16A3F128c85755C02344,,,,,,1,22001.62954548625,1679328714,bafkreia3dw3laftzt6uiq25iwuui42mgl2g5ceirx76phtvimnoj7jkn6q,""
0xB5Eb1cCdC9eeaf7a8E726EeAe01142F8C5E1aC25,1,,,,,,56.527832484083014,1679328720,bafkreiabddkt2fjwmb4xc574mt2yffzbubf2y7dx6ydrk32rciczs73emu,""
0x3cd4C2f4E3656d9a4a043DFa8d546A09Bdb55807,50,,,,50,,33003.73966343665,1679328730,bafkreid4nwzyvbxa2cmsxbv6rt3gxukzas5qpxp6mqafmn7b4b4ga5usdy,""
0xCde91c40C0348442344204Ab1fdD59d0Be49Fee7,,,,,1,1,32.324974902983975,1679328896,bafkreidqfw3hguchau4zufddrx66jd42cudlbzsvvjl5gqousijj7g3hzy,""
0xf1eFd37e4D338493662D365deEc2C996B93f20ff,,,,,2,,0.00042,1679328978,bafkreihs4rewtan6lwcizwazqsw6oov573wfmpdqzyy2f2kf3ma2reqwpa,""
0x5587734d66CeABFB4eE59ED45677dc6371355f35,,,,,1,,0.7251670033878216,1679329006,bafkreihwysjybkkm3mti6nutm4r6pvdjcep5ex4gtywzch7evmmk52hcna,""
0xb2De81CB422073Ff86C4aa94f5168054af1c9EE2,1,,,,,,1.4057350684975773,1679329019,bafkreifsjikddlrzuotot5fszhp5yv2gut4q52dozfafe2awduzszgevjm,""
0xBE3C90D34b757587C62852DCd57f7c8E1bc5547C,,,,,,1,16.998850871875742,1679329192,bafkreihglcvrklqvwlxivlj4xl3og22cxx3v67zooz65rju3lwp2r4chgq,""
0xcDF33a991B66811cD25a42b7887FceAc776CF0c8,,,,,1,,2.4179909458405624,1679329211,bafkreifagph4unztn4zi4ankm4d2rqqezua7jce73ofn5jlmerowdtoyg4,""
