address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,choice.9,voting_power,timestamp,author_ipfs_hash,reason
0x2B49eb913E5D5d82Ae3c7145577F24E9a7615d39,,1,,,1,1,1,,,0.8570090872165317,1690965589,bafkreieuiglbeobnvdg643u6mje3cprhmdaaxyt6wrvbric6feu5lkufna,""
0x8c57D1Fab10D4B78F49ef5C6ABaEB76a63710f61,,,,,,,100,,,5.49988911507391,1690965703,bafkreigoun3espdmm5unv6qm4qdvqwhflatdmw32lhavbffk5va7bgaznm,""
0x885868eBE6087B23E7f9D595209a6D8edf6db32B,,,,,,1,,,,555893.370459036,1690965931,bafkreigzercdgvff5cnwpzcarz7jnjwguzzhfaw3uwjy5ntl32bm5gjyva,""
0x5826d86A14AE3817A35a502bbF27F79bB6f5081D,,,,,,1,,,,43003.211569082545,1690966013,bafkreibnnin7chp6iqqlozfwiojp2uyrqtnk4kdvt6p7mkring2wcpovtq,""
0xdD760A8f8ce5E4B5f9Ff436EE7790c603D6294d0,,,,,,1,,,,10510.941173728881,1690966045,bafkreiepsxh3momymqfpeppbajeqwqdcbln5c7x7u6kptsuor2xjk5qufe,""
0x8b529eF78046008f9d1FbC91c7407030De96EE32,,,,,,80,,,20,3375.017167702051,1690966167,bafkreibd54phimfr2zrbocjfvovinf643xgcnd3zsbykorgaw4ckjkkeuy,""
0x169719222A053c8214Ee3E5e5c2c735b3c0029cb,,,,,,5,,,,0.00042,1690966391,bafkreigflfh63r7m22nye4orwsvgrkce5upaxla4mgbkyl726iyqjvay5a,""
0x9c57027B1eca93093a6F446422C59C85A5A3Fa52,,,,,1,,,1,,234.12048214795942,1690966503,bafkreiaj2qytttvqw2bof4mx7gs7fyzktqxcx3ss5b2nckko6auzj6toqm,""
0x06bbB894603aB22Ccd2383bF78bBF78e897384ab,,,,,,,1,,,3.1206454853007575,1690966532,bafkreigdxxla72hkfigeyxfke6c5gbt6shivonaqaxqopj6wdabt7vuoti,""
0x46DD2E937C0bD6C8337b43BDe12B116307735395,,,,,,,,1,,0.000554212336482,1690966605,bafkreicifuskoe2mljavypyhw62z6cur7ef6ekayw4eipbxmml6juvppom,""
0x0D5384aa8F367B73725093523fA8EbDAD242Da54,1,,1,,1,,1,,,0.001,1690966809,bafkreicsnaalt7dgtb6uipgdi7cnjcdbimp47dyiecprdekiyk34nza6n4,""
0x658077D3aB7d534Da438126f3b9fd9F13Fa5c516,,,,,,1,,,,7.068967781230206,1690966882,bafkreicl6ap3cl4own47cwz2ky36kfmdy536w4jkdfzabweobddnoy4vqq,""
0x9f3e6825D3677F0228153f01dA1DA9f9a856d688,,,,,,,,1,,1.1860393744961375,1690966888,bafkreidng7gh6r5l2nroqsupgxpkwahnvkccth2wtldzxwtaaizlndexvm,""
0x0C5E9dD90b2a3056E175099b256A875FD94063dD,1,1,1,,,,,,,119.01404526326753,1690967670,bafkreihtwmdxryu7tt5c24ujyao4b2mmd7n3u62ckw2lzl7ihwyvfs6fou,""
0x24680Aae004c3826B2f311b2c924cE8e58ba2006,,1,,,,,,,,21.212227233341572,1690967717,bafkreifkvudd35c5va3aotappuekydwki5ohnfcffau4rrdckgozswie4i,""
0x5a071bA1181E280845eEC8fe4f8D2bf7054bF319,,,,,,1,,,,4.7252182251819494,1690967903,bafkreie6c6cmha62khhbwukbdo2d35ebfgyozzluz2yy5utr54hc3buklm,""
0xDf816589E9098136c7a9377230fBd2702D0A4f42,,2,,,2,5,4,,,6.865938232802112,1690967919,bafkreiabk255r3bigthcpwsisu7hmkrp5g7d4aiwrk2fcyovb76w6hgmya,""
